group,subgroup,value
Abraham Lincoln Birthplace National Historical Park,Ambystomatidae,5
Abraham Lincoln Birthplace National Historical Park,Bufonidae,2
Abraham Lincoln Birthplace National Historical Park,Cryptobranchidae,1
Abraham Lincoln Birthplace National Historical Park,Hylidae,4
Abraham Lincoln Birthplace National Historical Park,Microhylidae,1
Abraham Lincoln Birthplace National Historical Park,Plethodontidae,9
Abraham Lincoln Birthplace National Historical Park,Proteidae,1
Abraham Lincoln Birthplace National Historical Park,Ranidae,5
Abraham Lincoln Birthplace National Historical Park,Salamandridae,1
Abraham Lincoln Birthplace National Historical Park,Scaphiopodidae,1
Acadia National Park,Ambystomatidae,2
Acadia National Park,Bufonidae,1
Acadia National Park,Hylidae,2
Acadia National Park,Plethodontidae,4
Acadia National Park,Ranidae,5
Acadia National Park,Salamandridae,1
Adams National Historical Park,Hylidae,1
Adams National Historical Park,Ranidae,1
African Burial Ground National Monument,Hylidae,1
Agate Fossil Beds National Monument,Ambystomatidae,1
Agate Fossil Beds National Monument,Bufonidae,2
Agate Fossil Beds National Monument,Hylidae,1
Agate Fossil Beds National Monument,Ranidae,2
Agate Fossil Beds National Monument,Scaphiopodidae,1
Alibates Flint Quarries National Monument,Ambystomatidae,1
Alibates Flint Quarries National Monument,Bufonidae,5
Alibates Flint Quarries National Monument,Hylidae,2
Alibates Flint Quarries National Monument,Ranidae,2
Alibates Flint Quarries National Monument,Scaphiopodidae,3
Allegheny Portage Railroad National Historic Site,Ambystomatidae,3
Allegheny Portage Railroad National Historic Site,Bufonidae,2
Allegheny Portage Railroad National Historic Site,Hylidae,2
Allegheny Portage Railroad National Historic Site,Plethodontidae,11
Allegheny Portage Railroad National Historic Site,Proteidae,1
Allegheny Portage Railroad National Historic Site,Ranidae,5
Allegheny Portage Railroad National Historic Site,Salamandridae,1
American Memorial Park,Bufonidae,1
Amistad National Recreation Area,Bufonidae,4
Amistad National Recreation Area,Eleutherodactylidae,2
Amistad National Recreation Area,Hylidae,1
Amistad National Recreation Area,Microhylidae,1
Amistad National Recreation Area,Ranidae,1
Amistad National Recreation Area,Scaphiopodidae,1
Anacostia Park,Ambystomatidae,1
Anacostia Park,Bufonidae,2
Anacostia Park,Hylidae,3
Anacostia Park,Plethodontidae,1
Anacostia Park,Ranidae,5
Andersonville National Historic Site,Hylidae,1
Andersonville National Historic Site,Ranidae,1
Aniakchak National Monument,Ranidae,1
Antietam National Battlefield,Bufonidae,2
Antietam National Battlefield,Hylidae,2
Antietam National Battlefield,Plethodontidae,6
Antietam National Battlefield,Ranidae,4
Apostle Islands National Lakeshore,Ambystomatidae,2
Apostle Islands National Lakeshore,Bufonidae,1
Apostle Islands National Lakeshore,Hylidae,4
Apostle Islands National Lakeshore,Plethodontidae,2
Apostle Islands National Lakeshore,Proteidae,1
Apostle Islands National Lakeshore,Ranidae,5
Apostle Islands National Lakeshore,Salamandridae,1
Appalachian National Scenic Trail,Ambystomatidae,3
Appalachian National Scenic Trail,Cryptobranchidae,1
Appalachian National Scenic Trail,Hylidae,3
Appalachian National Scenic Trail,Plethodontidae,32
Appalachian National Scenic Trail,Proteidae,1
Appalachian National Scenic Trail,Ranidae,1
Appalachian National Scenic Trail,Salamandridae,1
Appomattox Court House National Historical Park,Ambystomatidae,3
Appomattox Court House National Historical Park,Bufonidae,1
Appomattox Court House National Historical Park,Hylidae,5
Appomattox Court House National Historical Park,Plethodontidae,7
Appomattox Court House National Historical Park,Ranidae,4
Appomattox Court House National Historical Park,Salamandridae,1
Arches National Park,Ambystomatidae,1
Arches National Park,Bufonidae,2
Arches National Park,Hylidae,1
Arches National Park,Ranidae,2
Arches National Park,Scaphiopodidae,2
Arkansas Post National Memorial,Ambystomatidae,1
Arkansas Post National Memorial,Amphiumidae,1
Arkansas Post National Memorial,Bufonidae,2
Arkansas Post National Memorial,Hylidae,5
Arkansas Post National Memorial,Microhylidae,1
Arkansas Post National Memorial,Plethodontidae,1
Arkansas Post National Memorial,Proteidae,1
Arkansas Post National Memorial,Ranidae,3
Arkansas Post National Memorial,Salamandridae,1
Arkansas Post National Memorial,Sirenidae,1
"Arlington House, The Robert E. Lee Memorial",Hylidae,1
"Arlington House, The Robert E. Lee Memorial",Pipidae,1
Assateague Island National Seashore,Bufonidae,1
Assateague Island National Seashore,Hylidae,3
Assateague Island National Seashore,Plethodontidae,2
Assateague Island National Seashore,Ranidae,4
Aztec Ruins National Monument,Ambystomatidae,1
Aztec Ruins National Monument,Bufonidae,1
Aztec Ruins National Monument,Hylidae,1
Aztec Ruins National Monument,Ranidae,1
Aztec Ruins National Monument,Scaphiopodidae,2
Badlands National Park,Ambystomatidae,1
Badlands National Park,Bufonidae,2
Badlands National Park,Hylidae,1
Badlands National Park,Ranidae,2
Badlands National Park,Scaphiopodidae,1
Bandelier National Monument,Ambystomatidae,1
Bandelier National Monument,Bufonidae,2
Bandelier National Monument,Hylidae,2
Bandelier National Monument,Plethodontidae,1
Bandelier National Monument,Ranidae,1
Bandelier National Monument,Scaphiopodidae,1
Belmont-Paul Women's Equality National Monument,Hylidae,1
Belmont-Paul Women's Equality National Monument,Pipidae,1
Bent's Old Fort National Historic Site,Ambystomatidae,1
Bent's Old Fort National Historic Site,Bufonidae,2
Bent's Old Fort National Historic Site,Hylidae,1
Bent's Old Fort National Historic Site,Ranidae,2
Big Bend National Park,Ambystomatidae,1
Big Bend National Park,Bufonidae,4
Big Bend National Park,Eleutherodactylidae,2
Big Bend National Park,Hylidae,3
Big Bend National Park,Microhylidae,1
Big Bend National Park,Ranidae,2
Big Bend National Park,Scaphiopodidae,2
Big Cypress National Preserve (includes addition),Amphiumidae,1
Big Cypress National Preserve (includes addition),Bufonidae,3
Big Cypress National Preserve (includes addition),Eleutherodactylidae,2
Big Cypress National Preserve (includes addition),Hylidae,8
Big Cypress National Preserve (includes addition),Microhylidae,1
Big Cypress National Preserve (includes addition),Pipidae,1
Big Cypress National Preserve (includes addition),Ranidae,2
Big Cypress National Preserve (includes addition),Salamandridae,1
Big Cypress National Preserve (includes addition),Sirenidae,2
Big Hole National Battlefield,Ambystomatidae,1
Big Hole National Battlefield,Bufonidae,1
Big Hole National Battlefield,Leiopelmatidae,1
Big Hole National Battlefield,Ranidae,1
Big South Fork National River and Recreation Area,Ambystomatidae,2
Big South Fork National River and Recreation Area,Bufonidae,2
Big South Fork National River and Recreation Area,Cryptobranchidae,1
Big South Fork National River and Recreation Area,Hylidae,5
Big South Fork National River and Recreation Area,Microhylidae,1
Big South Fork National River and Recreation Area,Plethodontidae,16
Big South Fork National River and Recreation Area,Proteidae,1
Big South Fork National River and Recreation Area,Ranidae,4
Big South Fork National River and Recreation Area,Salamandridae,1
Big South Fork National River and Recreation Area,Scaphiopodidae,1
Big Thicket National Preserve,Ambystomatidae,3
Big Thicket National Preserve,Amphiumidae,1
Big Thicket National Preserve,Bufonidae,3
Big Thicket National Preserve,Eleutherodactylidae,1
Big Thicket National Preserve,Hylidae,7
Big Thicket National Preserve,Microhylidae,2
Big Thicket National Preserve,Plethodontidae,2
Big Thicket National Preserve,Proteidae,1
Big Thicket National Preserve,Ranidae,5
Big Thicket National Preserve,Salamandridae,1
Big Thicket National Preserve,Scaphiopodidae,1
Big Thicket National Preserve,Sirenidae,1
Bighorn Canyon National Recreation Area,Ambystomatidae,1
Bighorn Canyon National Recreation Area,Bufonidae,1
Bighorn Canyon National Recreation Area,Hylidae,1
Bighorn Canyon National Recreation Area,Ranidae,1
Bighorn Canyon National Recreation Area,Scaphiopodidae,1
Biscayne National Park,Bufonidae,2
Biscayne National Park,Eleutherodactylidae,2
Biscayne National Park,Hylidae,4
Biscayne National Park,Microhylidae,1
Biscayne National Park,Pipidae,1
Biscayne National Park,Ranidae,2
Biscayne National Park,Typhlonectidae,1
Black Canyon of the Gunnison National Park,Ambystomatidae,1
Black Canyon of the Gunnison National Park,Ranidae,1
Blackstone River Valley National Historical Park,Hylidae,1
Blackstone River Valley National Historical Park,Pipidae,1
Blackstone River Valley National Historical Park,Ranidae,1
Blue Ridge Parkway,Ambystomatidae,3
Blue Ridge Parkway,Bufonidae,2
Blue Ridge Parkway,Cryptobranchidae,1
Blue Ridge Parkway,Hylidae,6
Blue Ridge Parkway,Plethodontidae,39
Blue Ridge Parkway,Proteidae,1
Blue Ridge Parkway,Ranidae,4
Blue Ridge Parkway,Salamandridae,1
Bluestone National Scenic River,Ambystomatidae,3
Bluestone National Scenic River,Bufonidae,1
Bluestone National Scenic River,Hylidae,4
Bluestone National Scenic River,Plethodontidae,16
Bluestone National Scenic River,Ranidae,4
Bluestone National Scenic River,Salamandridae,1
Booker T. Washington National Monument,Ambystomatidae,2
Booker T. Washington National Monument,Bufonidae,1
Booker T. Washington National Monument,Hylidae,3
Booker T. Washington National Monument,Plethodontidae,4
Booker T. Washington National Monument,Ranidae,3
Boston African American National Historic Site,Hylidae,1
Boston African American National Historic Site,Pipidae,1
Boston African American National Historic Site,Ranidae,1
Boston Harbor Islands National Recreation Area,Ambystomatidae,1
Boston Harbor Islands National Recreation Area,Hylidae,1
Boston Harbor Islands National Recreation Area,Plethodontidae,1
Boston Harbor Islands National Recreation Area,Ranidae,2
Boston National Historical Park,Pipidae,1
Boston National Historical Park,Ranidae,1
Brown v. Board of Education National Historical Park,Hylidae,1
Bryce Canyon National Park,Ambystomatidae,1
Bryce Canyon National Park,Hylidae,2
Bryce Canyon National Park,Ranidae,1
Bryce Canyon National Park,Scaphiopodidae,1
Buffalo National River,Ambystomatidae,3
Buffalo National River,Bufonidae,2
Buffalo National River,Hylidae,5
Buffalo National River,Plethodontidae,6
Buffalo National River,Proteidae,1
Buffalo National River,Ranidae,5
Buffalo National River,Salamandridae,1
Buffalo National River,Scaphiopodidae,1
Cabrillo National Monument,Eleutherodactylidae,1
Cabrillo National Monument,Pipidae,1
Cabrillo National Monument,Plethodontidae,1
Cabrillo National Monument,Ranidae,1
Camp Nelson National Monument,Bufonidae,1
Camp Nelson National Monument,Plethodontidae,1
Camp Nelson National Monument,Ranidae,1
Canaveral National Seashore,Amphiumidae,1
Canaveral National Seashore,Bufonidae,3
Canaveral National Seashore,Eleutherodactylidae,1
Canaveral National Seashore,Hylidae,9
Canaveral National Seashore,Microhylidae,1
Canaveral National Seashore,Pipidae,1
Canaveral National Seashore,Ranidae,4
Canaveral National Seashore,Salamandridae,1
Canaveral National Seashore,Scaphiopodidae,1
Canaveral National Seashore,Sirenidae,2
Cane River Creole National Historical Park,Ambystomatidae,4
Cane River Creole National Historical Park,Amphiumidae,1
Cane River Creole National Historical Park,Bufonidae,3
Cane River Creole National Historical Park,Hylidae,6
Cane River Creole National Historical Park,Microhylidae,1
Cane River Creole National Historical Park,Plethodontidae,3
Cane River Creole National Historical Park,Proteidae,1
Cane River Creole National Historical Park,Ranidae,4
Cane River Creole National Historical Park,Salamandridae,1
Cane River Creole National Historical Park,Scaphiopodidae,1
Cane River Creole National Historical Park,Sirenidae,1
Canyon De Chelly National Monument,Ambystomatidae,1
Canyon De Chelly National Monument,Bufonidae,3
Canyon De Chelly National Monument,Hylidae,2
Canyon De Chelly National Monument,Ranidae,2
Canyon De Chelly National Monument,Scaphiopodidae,2
Canyonlands National Park,Ambystomatidae,1
Canyonlands National Park,Bufonidae,2
Canyonlands National Park,Hylidae,1
Canyonlands National Park,Ranidae,2
Canyonlands National Park,Scaphiopodidae,1
Cape Cod National Seashore,Ambystomatidae,1
Cape Cod National Seashore,Bufonidae,2
Cape Cod National Seashore,Hylidae,2
Cape Cod National Seashore,Plethodontidae,2
Cape Cod National Seashore,Ranidae,4
Cape Cod National Seashore,Salamandridae,1
Cape Cod National Seashore,Scaphiopodidae,1
Cape Hatteras National Seashore,Amphiumidae,1
Cape Hatteras National Seashore,Bufonidae,2
Cape Hatteras National Seashore,Hylidae,4
Cape Hatteras National Seashore,Microhylidae,1
Cape Hatteras National Seashore,Plethodontidae,2
Cape Hatteras National Seashore,Ranidae,2
Cape Hatteras National Seashore,Scaphiopodidae,1
Cape Lookout National Seashore,Ambystomatidae,1
Cape Lookout National Seashore,Bufonidae,3
Cape Lookout National Seashore,Hylidae,3
Cape Lookout National Seashore,Microhylidae,1
Cape Lookout National Seashore,Ranidae,2
Cape Lookout National Seashore,Salamandridae,1
Cape Lookout National Seashore,Scaphiopodidae,1
Capitol Reef National Park,Ambystomatidae,1
Capitol Reef National Park,Bufonidae,2
Capitol Reef National Park,Hylidae,1
Capitol Reef National Park,Ranidae,1
Capitol Reef National Park,Scaphiopodidae,1
Capulin Volcano National Monument,Ambystomatidae,1
Capulin Volcano National Monument,Bufonidae,1
Capulin Volcano National Monument,Ranidae,1
Capulin Volcano National Monument,Scaphiopodidae,1
Carl Sandburg Home National Historic Site,Ambystomatidae,2
Carl Sandburg Home National Historic Site,Bufonidae,2
Carl Sandburg Home National Historic Site,Cryptobranchidae,1
Carl Sandburg Home National Historic Site,Hylidae,3
Carl Sandburg Home National Historic Site,Plethodontidae,16
Carl Sandburg Home National Historic Site,Proteidae,1
Carl Sandburg Home National Historic Site,Ranidae,4
Carl Sandburg Home National Historic Site,Salamandridae,1
Carl Sandburg Home National Historic Site,Scaphiopodidae,1
Carlsbad Caverns National Park,Bufonidae,4
Carlsbad Caverns National Park,Hylidae,1
Carlsbad Caverns National Park,Ranidae,2
Carlsbad Caverns National Park,Scaphiopodidae,2
Casa Grande Ruins National Monument,Ambystomatidae,1
Casa Grande Ruins National Monument,Bufonidae,2
Casa Grande Ruins National Monument,Ranidae,1
Casa Grande Ruins National Monument,Scaphiopodidae,2
Castillo de San Marcos National Monument,Bufonidae,1
Castillo de San Marcos National Monument,Eleutherodactylidae,1
Castillo de San Marcos National Monument,Hylidae,2
Castle Mountains National Monument,Ranidae,1
Catoctin Mountain Park,Ambystomatidae,2
Catoctin Mountain Park,Bufonidae,2
Catoctin Mountain Park,Hylidae,2
Catoctin Mountain Park,Plethodontidae,8
Catoctin Mountain Park,Ranidae,5
Catoctin Mountain Park,Salamandridae,1
Cedar Breaks National Monument,Ambystomatidae,1
Cedar Breaks National Monument,Hylidae,1
Chaco Culture National Historical Park,Ambystomatidae,1
Chaco Culture National Historical Park,Bufonidae,1
Chaco Culture National Historical Park,Scaphiopodidae,2
Chamizal National Memorial,Ranidae,1
Channel Islands National Park,Hylidae,1
Channel Islands National Park,Pipidae,1
Channel Islands National Park,Plethodontidae,2
Charles Pinckney National Historic Site,Bufonidae,1
Charles Pinckney National Historic Site,Hylidae,1
Charles Pinckney National Historic Site,Plethodontidae,1
Charles Pinckney National Historic Site,Ranidae,1
Chattahoochee River National Recreation Area,Ambystomatidae,2
Chattahoochee River National Recreation Area,Bufonidae,2
Chattahoochee River National Recreation Area,Hylidae,7
Chattahoochee River National Recreation Area,Microhylidae,1
Chattahoochee River National Recreation Area,Plethodontidae,9
Chattahoochee River National Recreation Area,Ranidae,4
Chattahoochee River National Recreation Area,Salamandridae,1
Chattahoochee River National Recreation Area,Scaphiopodidae,1
Chesapeake and Ohio Canal National Historical Park,Ambystomatidae,3
Chesapeake and Ohio Canal National Historical Park,Bufonidae,2
Chesapeake and Ohio Canal National Historical Park,Hylidae,6
Chesapeake and Ohio Canal National Historical Park,Plethodontidae,10
Chesapeake and Ohio Canal National Historical Park,Ranidae,6
